Compra,Data,Descrição,Parcela,R$,US$
,27/11,IFOOD *IFD*GALETERIA,48.0,,
,29/11,IFOOD *IFD*ARCOS DOU,35.89,,
,14/12,IFOOD *CLUBE *IFOOD,5.99,,
,15/12,IFOOD *IFD*NICOLAS C,32.9,,
,15/12,IFOOD *IFD*CONCASSE,47.36,,
,16/12,IFOOD *IFD*ARCOS DOU,36.89,,
,16/12,IFOOD *IFD*RAPHAEL M,31.98,,
,17/12,IFOOD *IFD*ARCOS DOU,39.77,,
,27/11,IFOOD *IFD*GALETERIA,48.0,,
,29/11,IFOOD *IFD*ARCOS DOU,35.89,,
,21/12,IFOOD *IFD*ARCOS DOU,34.17,,
,22/12,IFOOD *IFD*ARCOS DOU,41.89,,
,23/12,IFOOD *IFD*ARCOS DOU,39.89,,
,24/12,IFOOD *CLUBE *IFOOD,5.99,,
,24/12,IFOOD *IFD*ARCOS DOU,31.92,,
,26/12,IFOOD *IFD*ARCOS DOU,35.17,,
