Id,Data,Descrição,Valor
10a37996-5463-4433-81f6-701f6f03ab1c,27/11,IFOOD *IFD*GALETERIA,48.0
65932b00-8bc4-45ba-967c-ec83554cb591,29/11,IFOOD *IFD*ARCOS DOU,35.89
0598a37b-30d9-4ccd-b800-1b6cd9822d3a,14/12,IFOOD *CLUBE *IFOOD,5.99
f73b7911-f87a-4d1f-9a4f-c23aa1d547c9,15/12,IFOOD *IFD*NICOLAS C,32.9
a2a28ad3-159a-44b2-b7a8-fb1fc399dfd8,15/12,IFOOD *IFD*CONCASSE,47.36
c0ab8311-b590-44a7-8ed7-0f090c109f62,16/12,IFOOD *IFD*ARCOS DOU,36.89
50acf3c2-9ca4-47ad-9a6b-6d7cd44769ce,16/12,IFOOD *IFD*RAPHAEL M,31.98
1d2dd9d7-ecdf-4d13-b69e-dd8c594fe98b,17/12,IFOOD *IFD*ARCOS DOU,39.77
ed117516-dc35-48aa-a2df-b1531ef8120d,27/11,IFOOD *IFD*GALETERIA,48.0
78971bc8-9e2a-4aa9-9462-b1901d3fdd01,29/11,IFOOD *IFD*ARCOS DOU,35.89
949426f8-3587-4b7e-a984-537c224ccc04,21/12,IFOOD *IFD*ARCOS DOU,34.17
2bbfcf94-2801-4a02-96d9-413aded50a73,22/12,IFOOD *IFD*ARCOS DOU,41.89
3bf516c9-fbe9-428d-8238-14cda2d94ccd,23/12,IFOOD *IFD*ARCOS DOU,39.89
3faf424f-802e-4c2d-aa41-b98d12850c1c,24/12,IFOOD *CLUBE *IFOOD,5.99
47e7c46f-b80b-469f-aa50-62ec98606293,24/12,IFOOD *IFD*ARCOS DOU,31.92
27f8e00e-2ce6-41d9-bf6b-88e9fc5133ee,26/12,IFOOD *IFD*ARCOS DOU,35.17
